sb137;null;sb135;[sb136,1384.0,40.0,37.0,12.0]
sb187;null;sb136;[sb137,1421.0,48.0,21.0,28.0]
sb138;null;sb137;[sb187,2874.0,47.0,36.0,38.0]
sb139;null;sb187;[sb138,1442.0,48.0,42.0,28.0]
sb140;null;sb138;[sb139,1484.0,18.0,36.0,37.0]
sb141;null;sb139;[sb140,1520.0,18.0,12.0,43.0]
sb142;null;sb140;[sb141,1532.0,12.0,19.0,45.0]
sb143;null;sb141;[sb142,1551.0,34.0,27.0,37.0]
sb144;null;sb142;[sb143,1578.0,34.0,24.0,25.0]
sb145;null;sb143;[sb144,1602.0,31.0,15.0,40.0]
sb146;null;sb144;[sb145,1617.0,31.0,13.0,45.0]
sb147;null;sb145;[sb146,1630.0,48.0,48.0,33.0]
null;null;sb146;[sb147,1678.0,48.0,30.0,42.0]
sb149;sb170;sb126;[sb148,1708.0,48.0,18.0,20.0]
sb150;null;sb148;[sb149,1726.0,38.0,47.0,22.0]
sb151;null;sb149;[sb150,1773.0,38.0,23.0,31.0]
sb152;null;sb150;[sb151,1796.0,16.0,18.0,42.0]
sb153;null;sb151;[sb152,1814.0,45.0,16.0,19.0]
sb154;null;sb152;[sb153,1830.0,45.0,41.0,30.0]
sb155;null;sb153;[sb154,1871.0,36.0,22.0,17.0]
sb156;null;sb154;[sb155,1893.0,46.0,25.0,14.0]
sb157;null;sb155;[sb156,1918.0,46.0,28.0,16.0]
sb158;null;sb156;[sb157,1946.0,15.0,20.0,25.0]
sb159;null;sb157;[sb158,1966.0,45.0,23.0,13.0]
sb160;null;sb158;[sb159,1989.0,45.0,44.0,32.0]
sb161;null;sb159;[sb160,2033.0,45.0,27.0,16.0]
sb162;null;sb160;[sb161,2060.0,45.0,46.0,47.0]
sb163;null;sb161;[sb162,2106.0,45.0,31.0,18.0]
sb164;null;sb162;[sb163,2137.0,32.0,33.0,22.0]
sb165;null;sb163;[sb164,2170.0,46.0,36.0,41.0]
sb166;null;sb164;[sb165,2206.0,34.0,21.0,17.0]
sb167;null;sb165;[sb166,2227.0,37.0,34.0,36.0]
sb168;null;sb166;[sb167,2261.0,36.0,36.0,37.0]
sb169;null;sb167;[sb168,2297.0,18.0,24.0,41.0]
null;null;sb168;[sb169,2321.0,18.0,24.0,39.0]
sb171;sb189;sb148;[sb170,2345.0,16.0,29.0,45.0]
sb172;null;sb170;[sb171,2374.0,25.0,22.0,40.0]
sb173;null;sb171;[sb172,2396.0,25.0,27.0,13.0]
sb174;null;sb172;[sb173,2423.0,15.0,25.0,32.0]
sb175;null;sb173;[sb174,2448.0,32.0,43.0,16.0]
sb176;null;sb174;[sb175,2491.0,24.0,15.0,16.0]
